word,frequency,Lg10WF
gonna,0.002047564379089437,5.0078
ask,0.0004955796068991761,4.3917
left,0.0004969271650835204,4.3928
next,0.00046440475338076204,4.3634
wouldn,0.0004752254444729599,4.3734
listen,0.0005588142775197528,4.4438
years,0.0005833317913513313,4.4625
happened,0.0005026995411866075,4.3979
talking,0.0005105636493967364,4.4046
care,0.0004977517902411043,4.3936
god,0.0009264160825236587,4.6633
own,0.0004710218674501544,4.3696
three,0.0005561996123859503,4.4418
old,0.0006246233876566888,4.4922
came,0.0004756679262648342,4.3738
mind,0.000497088067553293,4.393
looking,0.00044380923724988714,4.3437
trying,0.00045955756647886667,4.3589
stay,0.0005289266437595183,4.4199
understand,0.0004948756585939216,4.391
yourself,0.00044551882599121954,4.3454
someone,0.0004576066240328756,4.357
wasn,0.00044215998693471946,4.3421
same,0.0004279201183598568,4.3279
guess,0.0004656718603302201,4.3646
went,0.00042210751663932666,4.322
best,0.00041478645426467974,4.3144
may,0.0005245420514582189,4.4163
course,0.00049976307111326,4.3953
which,0.0004895256514739873,4.3863
show,0.0005009296140191104,4.3963
guy,0.0007822474696075347,4.5899
today,0.0004449757801557375,4.3449
while,0.0003584303642268757,4.251
seen,0.0003948747736303378,4.293
heard,0.00039773079246879897,4.2961
without,0.00036378037134681,4.2574
hold,0.0004479725886552496,4.3478
real,0.00045420755935893237,4.3538
use,0.00035269821374123183,4.244
together,0.00039326574893261326,4.2912
whole,0.00039541781946581987,4.2936
haven,0.00037900576754902897,4.2752
saw,0.00041285562462741024,4.3123
hello,0.0006005081299995414,4.4751
once,0.00035376419260347436,4.2453
took,0.0003510489634260641,4.2419
yet,0.0003505260303993036,4.2413
ready,0.0003977911308949637,4.2962
found,0.0004061982849405747,4.3053
idea,0.00036828564050043886,4.2627
already,0.0003267526904904227,4.2108
pretty,0.00040231651285731407,4.3011
start,0.0003488566672754143,4.2392
myself,0.00035137076836560903,4.2423
used,0.00035299990587205516,4.2443
okay,0.0020579425883897606,5.01
many,0.00036868789667487,4.2632
knew,0.0003784627217135469,4.2746
head,0.0003810773868473494,4.2776
since,0.0003230921593030992,4.2059
couldn,0.0003486756519969203,4.239
room,0.00045082860749371073,4.3506
matter,0.0003801320848374362,4.2765
world,0.00046693896727967825,4.3658
friend,0.00043009230170178495,4.3301
mr,0.001208739578548161,4.7789
girl,0.0005714652342056124,4.4535
bring,0.0003355822135191864,4.2224
most,0.0003597980352199416,4.2526
boy,0.0005434682044652044,4.4317
until,0.00031026018733874556,4.1883
hope,0.0003288846482149078,4.2136
both,0.00030293912496409865,4.1779
called,0.0003487762160405281,4.2391
hard,0.0003157710969284523,4.1959
guys,0.0006475922152167074,4.5078
minute,0.0003872117935074244,4.2845
run,0.0003595767943240045,4.2523
looks,0.000319512079350662,4.201
morning,0.00045030567446695025,4.3501
live,0.000353462500472651,4.2449
excuse,0.0003775777581297984,4.2736
move,0.0004289056459872131,4.3289
house,0.0005272371678269076,4.4185
wants,0.0003148660205359822,4.1947
few,0.00030959646465093414,4.1874
hi,0.0005724909874504118,4.4543
meet,0.00036134672149150155,4.2545
job,0.000423636090102165,4.3235
later,0.0002994596090552692,4.1729
turn,0.0003143632003179433,4.194
dead,0.000460543094106223,4.3598
says,0.000328965099449794,4.2137
woman,0.0004458205181220429,4.3457
alone,0.0003164750452337068,4.1969
gone,0.00030440736000077233,4.18
watch,0.0003385186835925338,4.2261
having,0.0002967041542604158,4.1689
problem,0.0003385589092099769,4.2262
ago,0.0002934861048649666,4.1641
open,0.00032866340731897063,4.2133
hell,0.000482948763022038,4.3804
saying,0.0002991579169244458,4.1725
somebody,0.0003534021620464863,4.2448
days,0.0003135989135865241,4.1929
probably,0.00028807575931886765,4.1561
tonight,0.00042331428516262007,4.3232
second,0.0002918971929759636,4.1618
worry,0.00029441129406615826,4.1655
thinking,0.00028867914358051436,4.157
kill,0.000464223738102268,4.3633
everybody,0.00035308035710694143,4.2444
lost,0.0002810563890750441,4.1454
end,0.0002727095734555978,4.1323
happen,0.00026082290350115726,4.1129
forget,0.0002841939872356071,4.1502
tomorrow,0.0003446128646351657,4.2339
money,0.0006572664762117766,4.5143
makes,0.0002473070960402707,4.0898
taking,0.00024664337335245925,4.0886
such,0.00029871543513257154,4.1718
huh,0.0004495212749268095,4.3493
face,0.00029660359021680804,4.1687
part,0.000268244529919412,4.1251
soon,0.00026428230660126517,4.1186
sit,0.0003193712896896111,4.2009
late,0.00027667179677374457,4.1385
under,0.0002686668989025647,4.1258
whatever,0.00025309958495207924,4.0999
anyone,0.0002618285439372352,4.1146
hand,0.00028684887798685263,4.1542
mother,0.0004922811062688406,4.3888
happy,0.0003417769586054261,4.2303
gave,0.00024996198679151627,4.0944
actually,0.00033063446257368325,4.2159
friends,0.00031331733426442226,4.1925
